datetime,region,num_of_cars,avg_speed,latitude,longitude
2024-05-24T09:55:00Z,Vransko,852,127,46.174640576447764,14.804130481638964
2024-05-24T14:55:00Z,Vransko,1332,125,46.17464057644776,14.804130481638968
2024-05-24T16:05:00Z,Vransko,708,128,46.17464057644776,14.804130481638968
2024-05-24T18:05:00Z,Vransko,396,140,46.17464057644776,14.804130481638968
2024-05-24T20:05:00Z,Vransko,108,133,46.17464057644776,14.804130481638968
2024-05-24T22:05:00Z,Vransko,192,134,46.17464057644776,14.804130481638968
2024-05-25T00:35:00Z,Vransko,24,126,46.17464057644776,14.804130481638968
2024-05-25T02:15:00Z,Vransko,24,112,46.17464057644776,14.804130481638968
2024-05-25T04:05:00Z,Vransko,12,136,46.17464057644776,14.804130481638968
2024-05-25T06:10:00Z,Vransko,372,138,46.17464057644776,14.804130481638968
2024-05-25T08:05:00Z,Vransko,624,130,46.17464057644776,14.804130481638968
2024-05-25T10:05:00Z,Vransko,672,133,46.17464057644776,14.804130481638968
2024-05-25T12:10:00Z,Vransko,792,136,46.17464057644776,14.804130481638968
2024-05-25T14:05:00Z,Vransko,564,131,46.17464057644776,14.804130481638968
