datetime,region,num_of_cars,avg_speed,latitude,longitude
2024-05-24T09:55:00Z,Postojna,1416,123,45.93134443045748,14.270708378492925
2024-05-24T14:55:00Z,Postojna,1620,118,45.93134443045748,14.270708378492925
2024-05-24T16:05:00Z,Postojna,1068,124,45.93134443045748,14.270708378492925
2024-05-24T18:05:00Z,Postojna,636,131,45.93134443045748,14.270708378492925
2024-05-24T20:05:00Z,Postojna,384,134,45.93134443045748,14.270708378492925
2024-05-24T22:05:00Z,Postojna,24,139,45.93134443045748,14.270708378492925
2024-05-25T00:35:00Z,Postojna,24,150,45.93134443045748,14.270708378492925
2024-05-25T02:15:00Z,Postojna,96,130,45.93134443045748,14.270708378492925
2024-05-25T04:05:00Z,Postojna,216,131,45.93134443045748,14.270708378492925
2024-05-25T06:10:00Z,Postojna,768,132,45.93134443045748,14.270708378492925
2024-05-25T08:05:00Z,Postojna,816,129,45.93134443045748,14.270708378492925
2024-05-25T10:05:00Z,Postojna,1524,121,45.93134443045748,14.270708378492925
2024-05-25T12:10:00Z,Postojna,1008,124,45.93134443045748,14.270708378492925
2024-05-25T14:05:00Z,Postojna,648,129,45.93134443045748,14.270708378492925
2024-05-25T16:05:00Z,Postojna,1056,134,45.93134443045748,14.270708378492925
2024-05-25T18:05:00Z,Postojna,840,128,45.93134443045748,14.270708378492925
2024-05-25T20:05:00Z,Postojna,516,135,45.93134443045748,14.270708378492925
2024-05-25T22:05:00Z,Postojna,120,144,45.93134443045748,14.270708378492925
2024-05-26T00:35:00Z,Postojna,0,0,45.93134443045748,14.270708378492925
2024-05-26T02:20:00Z,Postojna,0,0,45.93134443045748,14.270708378492925
2024-05-26T04:05:00Z,Postojna,108,140,45.93134443045748,14.270708378492925
2024-05-26T06:05:00Z,Postojna,168,137,45.93134443045748,14.270708378492925
2024-05-26T08:05:00Z,Postojna,864,134,45.93134443045748,14.270708378492925
2024-05-26T10:05:00Z,Postojna,1296,135,45.93134443045748,14.270708378492925
2024-05-26T12:10:00Z,Postojna,1092,138,45.93134443045748,14.270708378492925
2024-05-26T14:05:00Z,Postojna,2016,127,45.93134443045748,14.270708378492925
2024-05-26T16:05:00Z,Postojna,1560,102,45.93134443045748,14.270708378492925
2024-05-26T18:05:00Z,Postojna,1392,134,45.93134443045748,14.270708378492925
2024-05-26T20:05:00Z,Postojna,816,133,45.93134443045748,14.270708378492925
2024-05-26T22:05:00Z,Postojna,84,139,45.93134443045748,14.270708378492925
2024-05-27T00:35:00Z,Postojna,12,128,45.93134443045748,14.270708378492925
