datetime,region,num_of_cars,avg_speed,latitude,longitude
2024-05-24T09:55:00Z,Kozina,48,48,45.60742223894982,13.927767896289717
2024-05-24T14:55:00Z,Kozina,0,0,45.60742223894982,13.927767896289717
2024-05-24T16:05:00Z,Kozina,84,64,45.60742223894982,13.927767896289717
2024-05-24T18:05:00Z,Kozina,12,62,45.60742223894982,13.927767896289717
2024-05-24T20:05:00Z,Kozina,0,0,45.60742223894982,13.927767896289717
2024-05-24T22:05:00Z,Kozina,0,0,45.60742223894982,13.927767896289717
2024-05-25T00:35:00Z,Kozina,36,48,45.60742223894982,13.927767896289717
2024-05-25T02:15:00Z,Kozina,12,32,45.60742223894982,13.927767896289717
2024-05-25T04:05:00Z,Kozina,48,52,45.60742223894982,13.927767896289717
2024-05-25T06:10:00Z,Kozina,108,54,45.60742223894982,13.927767896289717
2024-05-25T08:05:00Z,Kozina,12,61,45.60742223894982,13.927767896289717
2024-05-25T10:05:00Z,Kozina,144,54,45.60742223894982,13.927767896289717
2024-05-25T12:10:00Z,Kozina,36,55,45.60742223894982,13.927767896289717
2024-05-25T14:05:00Z,Kozina,0,0,45.60742223894982,13.927767896289717
2024-05-25T16:05:00Z,Kozina,0,0,45.60742223894982,13.927767896289717
2024-05-25T18:05:00Z,Kozina,84,56,45.60742223894982,13.927767896289717
2024-05-25T20:05:00Z,Kozina,48,58,45.60742223894982,13.927767896289717
2024-05-25T22:05:00Z,Kozina,12,56,45.60742223894982,13.927767896289717
2024-05-26T00:35:00Z,Kozina,0,0,45.60742223894982,13.927767896289717
2024-05-26T02:20:00Z,Kozina,0,0,45.60742223894982,13.927767896289717
