datetime,region,num_of_cars,avg_speed,latitude,longitude
2024-05-24T09:55:00Z,Ljubljana,672,119,46.07061503201507,14.577867970254866
2024-05-24T14:55:00Z,Ljubljana,624,118,46.07061503201508,14.577867970254866
2024-05-24T16:05:00Z,Ljubljana,516,121,46.07061503201508,14.577867970254866
2024-05-24T18:05:00Z,Ljubljana,396,126,46.07061503201508,14.577867970254866
2024-05-24T20:05:00Z,Ljubljana,204,125,46.07061503201508,14.577867970254866
2024-05-24T22:05:00Z,Ljubljana,48,123,46.07061503201508,14.577867970254866
2024-05-25T00:35:00Z,Ljubljana,36,127,46.07061503201508,14.577867970254866
2024-05-25T02:15:00Z,Ljubljana,36,126,46.07061503201508,14.577867970254866
2024-05-25T04:05:00Z,Ljubljana,72,132,46.07061503201508,14.577867970254866
2024-05-25T06:10:00Z,Ljubljana,192,132,46.07061503201508,14.577867970254866
2024-05-25T08:05:00Z,Ljubljana,444,121,46.07061503201508,14.577867970254866
2024-05-25T10:05:00Z,Ljubljana,372,122,46.07061503201508,14.577867970254866
2024-05-25T12:10:00Z,Ljubljana,528,120,46.07061503201508,14.577867970254866
2024-05-25T14:05:00Z,Ljubljana,456,120,46.07061503201508,14.577867970254866
2024-05-25T16:05:00Z,Ljubljana,312,134,46.07061503201508,14.577867970254866
2024-05-25T18:05:00Z,Ljubljana,228,133,46.07061503201508,14.577867970254866
