datetime,region,num_of_cars,avg_speed,latitude,longitude
2024-05-24T09:55:00Z,Maribor,408,83,46.68255971126553,15.65138919777721
2024-05-24T14:55:00Z,Maribor,432,86,46.68255971126553,15.65138919777721
2024-05-24T16:05:00Z,Maribor,444,84,46.68255971126553,15.65138919777721
2024-05-24T18:05:00Z,Maribor,252,79,46.68255971126553,15.65138919777721
2024-05-24T20:05:00Z,Maribor,204,82,46.68255971126553,15.65138919777721
2024-05-24T22:05:00Z,Maribor,72,68,46.68255971126553,15.65138919777721
2024-05-25T00:35:00Z,Maribor,108,77,46.68255971126553,15.65138919777721
2024-05-25T02:15:00Z,Maribor,108,78,46.68255971126553,15.65138919777721
2024-05-25T04:05:00Z,Maribor,240,83,46.68255971126553,15.65138919777721
2024-05-25T06:10:00Z,Maribor,300,86,46.68255971126553,15.65138919777721
2024-05-25T08:05:00Z,Maribor,564,88,46.68255971126553,15.65138919777721
2024-05-25T10:05:00Z,Maribor,492,84,46.68255971126553,15.65138919777721
2024-05-25T12:10:00Z,Maribor,660,83,46.68255971126553,15.65138919777721
2024-05-25T14:05:00Z,Maribor,480,85,46.68255971126553,15.65138919777721
2024-05-25T16:05:00Z,Maribor,312,85,46.68255971126553,15.65138919777721
2024-05-25T18:05:00Z,Maribor,312,83,46.68255971126553,15.65138919777721
2024-05-25T20:05:00Z,Maribor,132,91,46.68255971126553,15.65138919777721
2024-05-25T22:05:00Z,Maribor,132,81,46.68255971126553,15.65138919777721
2024-05-26T00:35:00Z,Maribor,36,83,46.68255971126553,15.65138919777721
2024-05-26T02:20:00Z,Maribor,48,69,46.68255971126553,15.65138919777721
2024-05-26T04:05:00Z,Maribor,180,93,46.68255971126553,15.65138919777721
2024-05-26T06:05:00Z,Maribor,204,83,46.68255971126553,15.65138919777721
2024-05-26T08:05:00Z,Maribor,660,80,46.68255971126553,15.65138919777721
2024-05-26T10:05:00Z,Maribor,648,79,46.68255971126553,15.65138919777721
2024-05-26T12:10:00Z,Maribor,756,82,46.68255971126553,15.65138919777721
2024-05-26T14:05:00Z,Maribor,768,83,46.68255971126553,15.65138919777721
2024-05-26T16:05:00Z,Maribor,636,87,46.68255971126553,15.65138919777721
2024-05-26T18:05:00Z,Maribor,708,87,46.68255971126553,15.65138919777721
2024-05-26T20:05:00Z,Maribor,480,80,46.68255971126553,15.65138919777721
2024-05-26T22:05:00Z,Maribor,216,75,46.68255971126553,15.65138919777721
2024-05-27T00:35:00Z,Maribor,180,80,46.68255971126553,15.65138919777721
2024-05-27T02:20:00Z,Maribor,456,81,46.68255971126553,15.65138919777721
2024-05-27T04:05:00Z,Maribor,852,40,46.68255971126553,15.65138919777721
2024-05-27T06:10:00Z,Maribor,480,79,46.68255971126553,15.65138919777721
2024-05-27T08:05:00Z,Maribor,504,74,46.68255971126553,15.65138919777721
2024-05-27T10:05:00Z,Maribor,468,81,46.68255971126553,15.65138919777721
